אול מאונטיין
מרוץ 3 עונת 2014 - יער חוף כרמל - 03-05-2014
אנדורו
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,מקצה 4,זמן
17,144,סרט אלון,33.113,3:01.419,,3:07.580,3:01.419
18,258,שמבן גור,37.318,3:06.020,,3:05.624,3:05.624
19,154,זילכה נמרוד,37.797,3:06.103,,3:09.634,3:06.103
20,170,פורת יובל,40.344,3:08.650,,3:10.242,3:08.650
21,160,שפי שוהם,46.713,3:15.019,,3:15.066,3:15.019
22,225,לוי אדיר,1:05.488,3:33.794,,3:36.361,3:33.794
23,186,רוטשטיין יואב,1:26.891,7:58.945,,3:55.197,3:55.197
ספרינט 16-19
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,181,אורן טל,,2:26.727,,2:27.916,2:26.727
2,173,גלעדי דולב,2.004,2:28.731,2:31.295,2:51.621,2:28.731
3,231,בן עטר אוהד,19.463,2:46.190,,2:50.418,2:46.190
4,183,ג'יבלי לידור,20.425,2:47.152,,2:53.491,2:47.152
5,276,טבצ'ניק טום,25.564,2:58.579,,2:52.291,2:52.291
6,275,וולדניצקי קורן,28.419,2:56.548,,2:55.146,2:55.146
7,171,נחשון יובל,39.403,3:06.130,3:07.935,3:12.025,3:06.130
ספרינט 20-30
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,48,יפרח אלי,,2:20.969,,2:24.266,2:20.969
2,35,הרשקוביץ גיא,15.379,2:36.348,2:41.074,2:52.217,2:36.348
3,44,עבאס עלאא,15.678,2:36.647,,2:45.384,2:36.647
4,41,פינקל עומר,15.875,2:42.575,,2:36.844,2:36.844
5,20,ביבאס ניר,19.949,2:40.918,,2:46.448,2:40.918
6,34,אחיאסף עמית,21.265,2:42.234,2:48.602,2:43.626,2:42.234
7,31,בן יעקוב גל,21.971,2:42.940,2:43.496,2:46.089,2:42.940
8,233,בר און דולב,29.654,2:52.088,,2:50.623,2:50.623
9,234,שצור ייבגני,31.189,2:53.472,,2:52.158,2:52.158
10,164,קרויז פיליפ,46.526,3:07.495,3:10.900,3:15.565,3:07.495
11,278,רביב מאור,58.023,3:18.992,3:20.305,,3:18.992
ספרינט 30-40
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,78,אדלר אלכס,,2:32.591,,2:33.251,2:32.591
2,68,סאיג שמעון,3.405,2:39.915,,2:35.996,2:35.996
3,18,טל אור,8.151,2:41.721,,2:40.742,2:40.742
4,51,שינדלר אנדריי,10.728,2:43.319,2:43.976,2:43.521,2:43.319
5,280,גולדשטיין שחר,15.787,3:04.470,,2:48.378,2:48.378
6,201,חלייחל ג'עפר,16.820,2:49.411,2:52.861,2:51.883,2:49.411
7,265,בר לוין נמרוד,21.006,2:58.143,2:56.447,2:53.597,2:53.597
8,262,קליימן אריק,26.300,2:58.891,3:19.933,3:11.289,2:58.891
9,62,יעקוב תמיר,26.393,2:58.984,3:08.467,3:08.745,2:58.984
10,247,מילוא מתן,28.555,3:01.146,3:01.644,3:07.968,3:01.146
11,285,טל עומר,33.141,3:05.732,,3:11.844,3:05.732
12,53,גרטי אבירם,58.757,3:31.348,,,3:31.348
13,279,גלייזר אלכס,1:03.222,3:35.813,,,3:35.813
לא סיים - מקצה 3 - DNF
,53,גרטי אבירם,,3:31.348,,,
ספרינט 40-50
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,91,סרוסי יוסי,,2:39.357,,2:33.863,2:33.863
2,92,פיטל טל,2.962,2:36.825,,3:11.445,2:36.825
3,207,דהן יניב,4.681,2:38.544,2:41.845,2:44.648,2:38.544
4,108,גלילי זוהר,2.562,2:41.479,2:40.696,2:36.425,2:40.696
5,90,סטמקר ישראל,8.370,2:42.233,,2:54.416,2:42.233
6,210,שריבמן גיל,12.902,2:46.765,2:47.298,2:48.357,2:46.765
7,284,אלון מיקי,16.763,2:50.626,,2:54.144,2:50.626
8,87,שמבן איתי,19.690,2:53.553,2:54.186,3:00.298,2:53.553
9,266,בורשטיין עופר,20.582,2:54.445,,,2:54.445
10,99,הראל גיא,24.705,2:58.568,,,2:58.568
11,88,אביב יגאל,28.464,3:02.327,3:10.522,,3:02.327
12,240,פלג מיקי,31.979,3:07.623,,3:05.842,3:05.842
13,106,רוזברוך גיא,36.392,3:10.255,,3:11.147,3:10.255
14,263,פייג הראל,45.347,3:19.210,3:23.525,3:32.032,3:19.210
ספרינט 50+
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,191,רמתי רונן,,2:52.130,3:02.573,,2:52.130
2,190,גרוסמן יצחק,22.949,3:22.520,,3:15.079,3:15.079
3,187,שמעון חיים,30.791,3:22.921,,,3:22.921
טריפל קראון
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,182,אדלר מרק,,2:49.957,,2:44.053,2:44.053
2,283,חזין אלכס,4.788,2:48.841,,2:53.416,2:48.841
3,157,גורליק מיכאל,5.482,2:49.535,,2:54.944,2:49.535
4,274,גבעון קאי,9.624,2:53.677,,2:54.556,2:53.677
5,282,פוקס איתי,24.263,3:08.316,,3:13.286,3:08.316
6,232,צזנה בן,53.642,3:37.695,,3:40.735,3:37.695
7,25,לינדנפלד אילון,56.387,3:55.575,,3:40.440,3:40.440
