אול מאונטיין
מרוץ 5 עונת 2016 - כפר החורש - 05-11-2016

3,98,אלדד פטורי,3:43.945,3:43.945,,15.731
4,278,סהר קמינסקי,3:44.864,3:44.864,,16.650
5,286,גיל חגי,3:46.204,3:46.204,,17.990
6,274,אוהד ניר,4:24.459,4:24.459,,56.245
7,242,תכלת בן יהודה,4:54.052,4:54.052,,1:25.838
8,157,שקד יצחק,6:55.564,6:55.564,,3:27.350
ספרינט 30-39
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,296,חן גרומן,3:55.793,3:55.793,,
2,159,שאדי מנסא,3:56.489,3:56.489,,0.696
3,122,ג'עפר חלייחל,4:00.719,4:00.719,,4.926
4,192,מישיל סאלם,4:16.978,4:16.978,,21.185
5,52,אילון לינדנפלד,4:45.699,4:45.699,,49.906
ספרינט 40-49
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,151,אמיר כספי,3:41.736,3:41.736,,
2,53,אבירן בוניאל,3:58.080,3:58.080,,16.344
3,231,ירון רפופורט,4:05.713,4:05.713,,23.977
4,184,שי דלויה,4:20.593,4:20.593,,38.857
5,255,רונן רם,4:24.207,4:24.207,,42.471
ספרינט 50+
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,247,גבי גרבי,4:23.608,4:23.608,,
