3,90,משה אלקיים,7:54.496,6:25.703,8:10.007,6:24.659,7:57.031,6:13.239,7:54.860,6:15.670,7:55.462,6:15.748,1:11:26.875,4:31.922
4,89,ישראל בוזגלו,7:34.599,6:12.587,7:58.301,6:28.367,7:38.140,6:12.306,7:57.189,6:19.309,8:01.956,6:20.820,P 1:11:43.574,4:48.621
5,160,לירון פדאל,7:41.868,6:58.930,7:57.916,6:44.935,7:56.339,6:33.008,7:51.550,6:29.355,7:44.714,6:26.574,P 1:13:25.189,6:30.236
ג'וניור מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,זמן,פער
1,108,שי ספקטור,7:24.315,5:51.588,7:13.778,5:38.286,7:10.168,5:35.930,7:01.397,5:33.743,7:01.608,5:35.989,1:04:06.802,-
2,40,רז עידן,7:11.471,5:42.014,7:15.896,5:38.874,7:11.359,5:37.258,7:13.138,5:40.890,7:17.312,5:55.567,1:04:43.779,36.977
3,460,ענבר זלינגר,7:32.547,5:51.457,7:53.560,6:04.867,7:36.797,6:08.114,7:32.243,5:48.356,7:36.540,5:54.161,1:07:58.642,3:51.840
4,404,ניב סבן,7:31.969,6:32.718,8:06.844,6:36.529,7:43.490,6:23.096,8:27.833,6:20.877,7:55.265,6:22.851,1:12:01.472,7:54.670
5,181,גלב פורמנוב,8:08.977,6:56.738,7:53.711,6:45.499,7:41.307,6:39.787,7:46.074,6:39.660,7:34.917,6:49.088,1:12:55.758,8:48.956
6,228,עידו כהן,8:35.160,7:24.635,8:25.750,6:52.673,8:37.113,6:50.271,8:32.032,6:43.802,8:20.411,6:34.777,1:16:56.624,12:49.822

ג'וניור מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,10,בועז סאסי,7:45.745,7:41.796,7:36.046,7:31.072,30:34.659,-
2,66,אור זרקו,7:43.690,7:47.748,7:34.671,7:44.029,30:50.138,15.479
3,121,גל אזולאי,8:03.485,7:55.726,7:48.214,7:58.061,31:45.486,1:10.827
4,67,ירין כהן,8:06.896,8:04.437,8:01.553,7:52.538,32:05.424,1:30.765
5,321,מעין חמוי,8:19.159,8:10.758,8:23.913,8:22.672,33:16.502,2:41.843
6,115,מעיין עוזיאל,8:38.520,8:40.769,8:37.574,8:23.697,34:20.560,3:45.901
7,77,ארז מלמן,8:29.640,8:30.897,8:50.271,8:38.417,34:29.225,3:54.566
8,78,אור חן חיים גאלי,9:11.438,9:08.823,9:26.462,8:31.194,36:17.917,5:43.258
9,143,דניאל רחמני,8:56.701,8:52.418,9:43.377,8:52.423,36:24.919,5:50.260
10,9,איתמר ברדה,10:15.912,10:51.001,10:00.909,10:08.666,41:16.488,10:41.829
11,139,נדב לוי,12:46.033,10:45.030,10:36.426,11:13.921,45:21.410,14:46.751
12,119,ניב הימן,12:24.441,12:02.769,15:58.039,10:58.699,51:23.948,20:49.289
13,172,רון צדיק,11:37.574,12:08.702,17:08.976,11:19.921,52:15.173,21:40.514
הקפה מהירה: (10) בועז סאסי - 7:31.072
סופר ג'וניור מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,1,בן אלמגור,8:07.754,7:44.540,8:08.709,7:53.269,31:54.272,-
2,27,אופיר צמח,8:21.783,8:19.482,8:16.030,8:38.811,33:36.106,1:41.834
3,517,רן שמאי,9:20.702,9:21.224,9:11.493,9:38.077,37:31.496,5:37.224
4,888,יותם עוזיאל,10:46.532,10:51.539,11:18.414,10:28.144,43:24.629,11:30.357
5,48,שי אשכנזי,21:09.191,10:37.508,9:30.711,9:32.396,50:49.806,18:55.534
הקפה מהירה: (1) בן אלמגור - 7:44.540
סופר ג'וניור מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,109,איתי וינברג,10:36.590,9:36.858,10:32.862,9:50.511,40:36.821,-
2,666,עומר שהם,11:18.739,11:03.460,10:35.331,11:17.087,44:14.617,3:37.796
3,62,אוריה כפרי,12:59.712,12:54.969,14:00.936,11:59.760,51:55.377,11:18.556
4,57,נהוראי דוידה,12:52.157,12:18.723,15:53.139,12:48.291,53:52.310,13:15.489
5,777,גיא שהם,17:17.049,12:39.903,12:14.747,11:50.597,54:02.296,13:25.475
לא סיים - DNF
,46,גיא גולדשטיין,18:17.877,17:38.034,22:24.622,-,58:20.533,1 הקפה
,34,נדב ברדה,14:07.674,12:42.427,-,-,26:50.101,2 הקפות
הקפה מהירה: (109) איתי וינברג - 9:36.858

© כל הזכויות שמורות לתנועה מדידת זמנים
